label	text_a
0	大蒜炝锅会引发癌症
0	钟南山代言“吸氢疗法治新冠肺炎”
1	得了胰腺癌可能会出现油花样腹泻（脂肪泻）
0	开灯睡觉导致孩子性早熟
0	油桃含糖量高，糖尿病患者不能吃
0	人死后还会长指甲
0	漂白水加热水稀释会致癌
0	面粉增筋剂（偶氮甲酰胺）致癌
0	跷二郎腿严重危害身体健康
1	炒蔬菜会产生致癌物丙烯酰胺
0	来月经不能哺乳
1	平卧睡觉可能会让宝宝睡成平头偏头
1	狗不能吃巧克力
0	陈皮、蜂蜜等7种食物没有“保质期”，放得越久越好
1	男性比女性更容易患肝癌
1	积极控制高血压，可以有效预防或逆转左心室肥厚
0	喝骨头汤，吃胶原蛋白补品能防止皮肤老化
0	发热会烧坏脑子
0	诺贝尔医学奖发现“喝酒能抗癌”
1	影响乙醛脱氢酶的药物不宜与酒精同服
0	鹿茸多肽可以促神经再生
0	莲藕分为7孔和9孔，7孔的莲藕才适合煲汤
0	老干妈矿物油超标恐伤肝致癌
0	滴眼液可以治疗白内障
1	新生儿接种乙肝疫苗要在出生后 24 小时内进行
0	阿司匹林能有效延缓新冠肺炎病情
1	银汞补牙会挤压牙体组织，造成牙齿折裂
1	东亚地区有40%的人酒精代谢异常
1	儿童2周以内的短期咳嗽主要是呼吸道感染引起的
0	夏天吃姜（壮阳、抗癌），不用医生开处方
0	母乳喂养每次都需要拍嗝
0	煮熟后有洞的鸡蛋不能吃
1	介入手术可以治疗心脑血管疾病
1	核酸检测结果阴性不能排除新型冠状病毒感染
1	双胞胎变胖的程度差异小于其他人
0	乙肝感染妈妈不能母乳喂养孩子
0	被狗抓伤、咬伤等只要伤口不大，就不要担心得狂犬病
0	蔬菜水果可以替代白米饭作为主食
0	跑步/打球不能戴隐形眼镜
0	月子牙刷效果好，可以替代正常的刷牙过程
1	沙门氏菌可致食物中毒
0	运动后马上按摩可以缓解肌肉酸痛
1	瓜子糖精过量不宜多吃，会增加健康隐患
0	饭后剧烈运动，会导致肠扭转、小肠坏死
0	一颗肉丸含多种不认识的添加剂，研发者绝不让女儿吃
0	“天价“DCV癌症疫苗，注射一针能预防12种癌症
0	青汁能减肥
1	滥用保健品会伤肝
1	孕期贫血会影响宝宝的发育
1	可以看虾肉是否有弹性判断虾是否新鲜
0	多吃水果会影响女性月经周期，导致月经量少
0	月经期情绪不好皮肤不好，是因为没受孕身体在表达唾弃
0	“爬行”能治好腰间盘突出
0	如果出现黑便，就说明是肠癌
0	戴近视眼镜会让眼球变突出
0	蛋白粉是健身圣物，可以放开吃
0	人血白蛋白能提高机体免疫力
1	紫外线可以有效治疗银屑病
0	捆扎蔬菜的胶带有毒，其甲醛超标10倍
0	烤箱烤出来的食物出现黑色的物质会致癌
1	VHL综合征相关肾癌有很强的遗传性
0	孕期不能吃螃蟹和荔枝
0	接种流感疫苗会引起流感
0	咖啡越喝越健康
0	一份来自隔离医院的居家药物清单
0	早餐不能吃凉的
1	口腔溃疡虽然常见，但病因至今不明
0	可以通过颜色、形状、果肉和籽粒辨别催熟的西红柿
0	车厘子吃多了，会导致铁中毒和氰化物中毒
0	止汗剂会增加乳腺癌风险
1	点阵激光可以去痘坑
0	无糖食品不含糖，吃了不会长胖
0	鸡翅被注射大量激素，不能吃
0	癌症患者都是被治死的
0	开心果用二氧化硫漂白，对人有害
1	发生晕厥时如果没有很快苏醒过来，应立即打急救电话
1	阿奇霉素和地高辛合用，可引起地高辛中毒
0	买来的蔬菜应该放一段时间等农药分解再食用
0	萝卜有“蓝心”因打有毒保鲜剂
0	房间熏醋防感冒
0	面粉可以治疗烫伤
1	及时、规范的伤后处置能预防狂犬病发生
0	心脏病发或猝死前，用力咳嗽能救命
0	高油酸花生油能预防心血管疾病，抑制癌症，减肥美容
1	鸡屁股可能含有病原体和代谢废物，不建议食用
0	女人30如狼40如虎
0	糖尿病患者能吃粗粮就不要吃细粮了
0	灰指甲不疼不痒就不用治
0	电商平台出现网红“催吐管”，能安全催吐健康减肥
0	浙BL0535车上人员感染病毒正前往某地
0	甲鱼和苋菜不能一起吃
0	杂粮磨成粉后膳食纤维会被破坏，不利于健康
0	吃猪油能预防心血管疾病
0	喝酒不能吃粉条
0	宫颈糜烂会导致宫颈癌
1	月经量少提示子宫有问题
0	玫瑰花茶有奇特功效
0	四川一17岁少年感染超级细菌
1	越小的结节越倾向良性
0	金鱼不能吃，因为鱼饲料中的有毒物质会在人体内堆积
0	拍胳膊可以治疗心梗
0	西班牙养老院因接种新冠疫苗导致全体阳性
0	鲜榨橙汁机不安全
0	身材好的人才会有腰窝
0	提前输液能预防脑梗死
1	狂犬病病毒会通过蝙蝠传播
0	 炒西葫芦会产生致癌物，吃了会得癌症
0	怀孕不能哭泣，会影响到宝宝
0	葡萄最好一粒一粒揪下来洗
1	有人喝咖啡会心律不齐
0	糖尿病患者不能吃任何甜食
0	回生甘露丸可以有效治疗肺结核
0	痛风不可以吃牛肉
0	孩子喝了煮沸的豆浆后中毒身亡
0	红茶里加柠檬会致癌
1	无症状患者也可以传播新型冠状病毒
1	幽门螺杆菌可以根治
0	虾头有重金属
0	廉价酱油是用人类头发做的
1	己烯雌酚可能致癌
0	柑橘杨梅里的肉虫子﻿会危害人体健康
0	婴儿喝完人奶后要间隔30分钟喝奶粉，否则消化不良
1	妈妈突然减少哺乳可能会导致堵奶
1	新型冠状病毒在潜伏期会传染
0	女生胸部越摸越大
0	米饭二次加热会有毒素
1	早期食管癌在进食时会有异物停留感
0	蚬子蛤蜊蛏子里个个都有寄生虫
1	放屁跟吃的食物有关
0	牛油果不健康
0	吃了紧急避孕药后发现怀孕，这个孩子不能要
1	过量摄入镉对人体有危害
0	五颜六色的蔬果是转基因食品
0	阿莫西林是消炎神药，消炎就用阿莫西林
0	鼻子大少感冒
0	新研究证明：睡得越早，死得越早
0	天然草本的减肥产品是安全有效的
1	用体外冲击波碎石疗法治疗膀胱结石效果并不好
0	“粮食酒”喝多了也不会头晕
0	喝醋、柠檬水、姜汁可以清血管通血栓
0	墨绿色的菠菜是因为施肥过量
0	能量手环能提高人的柔韧性和平衡性
0	秋葵草酸的含量很高，有肾结石和高尿酸的人不能吃
0	子宫肌瘤是“寒气”引起的
0	樱桃核有剧毒，误食5颗就能致命
0	阴道炎患者不能吃辛辣刺激性、油腻食物和海鲜
1	血糖会影响皮肤健康
1	女性甲状腺癌的发病率是男性的3倍左右
0	喝完水就要上厕所是肾不好（肾虚）
0	青占鱼有毒不能吃 
0	起床太快，血管会破裂
0	蒲公英、九层塔会伤肝，导致肝硬化 
1	远视是看远看近都不清楚
0	柿饼上的白霜是防腐剂，不能吃
0	猪肉里长钩虫
0	身体出现1臭2黄（腋臭指甲黄巩膜黄），说明是肝癌
0	乳腺临床体检可以单独作为乳腺筛查的方法
0	长期熬夜，会堵住大脑排泄系统
0	高温能杀病毒，让病人发烧到39.6度以上就能痊愈
1	苦丝瓜有毒
0	牛奶奶皮厚薄关乎营养
0	菊花茶有神奇功效
0	慢性荨麻疹会反复发作一辈子
0	不能避免其他HIV相关的感染
1	补充维生素D可以预防子宫肌瘤
1	葡萄一粒粒洗更能去农残
0	预防宫颈癌，只需要打疫苗
0	冷热混合的“阴阳水”有害健康
0	黑心“胶水粥”对身体有害
0	泰国网红减肥药可以有效减肥
0	蛋、奶是现代老年病的根源
1	在中国治疗幽门螺杆菌建议用四联方案
0	甲状腺癌与拍X光片有关
0	43岁郝爱军吃大盘鸡感染禽流感
1	无氧代谢不燃烧脂肪
0	晚上睡不着，白天别补觉
1	癌症泛指所有的恶性肿瘤
0	味精、鸡精有害健康
0	空心菜是蔬菜里的“毒中之王”
0	柿子不能和螃蟹一起吃
1	河豚比其他鱼肉更鲜美
0	乳腺癌生存率很低
0	流感病毒变异，3月卷土重来
0	99％的樱桃都用了膨大剂
0	轻症患者手粘唾液触碰眼口鼻会转化为重症
0	有些人特别怕冷因为他是“怕冷体质”
0	毒蘑菇可以通过外表来区分
0	碘盐会致癌
0	小葱拌豆腐会影响钙的吸收
0	孩子咳嗽不吃药，会拖成肺炎
0	“白血病”挑孩子下手，医生：这3种水果，别给娃吃
0	拔头两侧的白发可以防治新型冠状病毒肺炎
1	没有涂层的铜锅不利于健康，但偶尔用没必要太担心
0	细菌占人体活细胞的90%
0	吃柠檬、樱桃、西瓜和葡萄可以降尿酸
0	西瓜甜靠打针？西瓜和桃子不能同吃？统统不靠谱
0	苏打水是胃酸的“天敌”
0	吸烟对人体的危害分情况，比如起床后吸烟危害更大
0	有机食物比普通食物更营养
1	吃没有熟的香蕉会加重便秘
0	晚上睡觉开小夜灯会让宝宝提前发育
0	乳腺自查可以提高乳腺癌早期诊断检出率、降低死亡率
0	骆驼奶（沙漠白金）接近母乳适合婴幼儿
0	女性第一次做爱不会怀孕
0	口服激素类药物能有效保养卵巢
1	男人也会得乳腺癌
0	子宫腺肌症治不好
1	银屑病不能根治
1	葡萄颜色越深，生物活性物质含量越高
1	花胶是鱼鳔的干制品
0	红薯叶能预防贫血
0	吃胡萝卜时不要喝酒，对人体有害
0	方便面比包子营养更均衡
0	发烧不能吃鸡蛋
0	饭后马上躺下或者松腰带会导致胃下垂
0	儿童牛奶含添加剂加重肝肾负担，甚至致癌
0	坐月子必须大鱼大肉，补充营养
0	长期骑车会增高罹患前列腺癌风险
0	葵花籽（瓜子）富含重金属会致癌
0	辅酶Q10能治疗癌症
0	乙肝妈妈怀孕期间需要注射乙肝免疫球蛋白
1	北京协和医院不生产维生素E乳
1	不粘锅不沾
1	东北自制酸汤子有米酵菌酸中毒风险
0	小龙虾的致命真相：你可能永远不知道
0	虾青素能缓解尿酸高
0	吃南瓜籽可以降血糖
0	有出血倾向的病人不能食用木耳
0	98岁中国名老中医于彤开30个药方治高血压
1	癌症受遗传和环境因素影响
0	服用小剂量降压药会让体重上升
0	苏打水适合所有人喝
1	杀鱼的速度影响鱼的肉质
0	天天吃鸡蛋早死10年
0	感冒长期治不好是得了艾滋病
0	杂交稻是转基因粮食
0	草莓是最脏的水果
1	病毒性肝炎是肝细胞肝癌的主要危险因素
1	阿奇霉素引起重症肌无力
0	鸡蛋不能与糖同煮
0	经常让孩子吃夜奶，会影响宝宝脑部和身体发育
1	老年人容易出现飞蚊症
0	“酸性体质”生男孩
0	按摩店的精油可以保养卵巢
0	水煮鸡蛋如果蛋黄变绿，吃了会致癌
0	女性运动健身容易变成肌肉女
1	有眼睛发红+有异物感症状可能是干眼症
0	妇科病前，嘴巴是不会骗你的，出现四个表现需要注意
1	影响昼夜节律的轮班工作是2A类致癌物
0	排残乳等于排癌
0	国家食品药品监督管理总局紧急通知13种有毒胶囊
0	8毛钱治好本要花10万元的病
0	人工泪液有害
1	心碎综合征不仅仅是心脏疾病
0	鸡蛋与茶同吃会对胃产生刺激
0	痛风患者不能喝酸奶
0	后脑勺堆肉是脑梗的前兆
0	妈妈越孕吐，宝宝越聪明
1	对成人来说，母乳的价值不如牛奶
0	运动可以增加饮酒量
0	女性私处，洗洗更健康
0	4个月大的腹中胎儿会算数
0	豆制品含植物雌激素，吃多了会得子宫肌瘤
0	试管婴儿春季做比较好
0	猕猴桃“吃”膨大剂不能买
0	服用维生素C可以提高人体免疫力，预防感冒
0	没有按时接种疫苗，要重新从第一针打
0	老年人需要长期服用降胆固醇药物
1	成年人共餐一般不会造成幽门螺杆菌传播
0	氰化物是入口即死的毒药之王
1	浴霸使用不当会对眼睛造成伤害
0	喝单枞茶可以预防新冠肺炎
0	用苹果醋、柠檬汁、小苏打洗头能有效去除头皮屑
1	只要活得够久，人人都会得白内障
0	乳酸菌素片可以治疗新型冠状病毒肺炎
0	蓝芩口服液能清热解毒、利咽消肿、治疗急性咽炎
0	艾滋病药物可以治疗埃博拉
0	原料稀缺的保健品一定是健康有效的保健品
0	狂犬病病毒只有狗才能传播
0	开水冲蛋会吃出白血病
0	日本网红药（帝人痛风）可以根治痛风
0	流鼻血后应该仰头止血
0	小龙虾浑身都是寄生虫不能吃
0	“加水法”能鉴别白酒质量，变浑的是纯粮食酒
0	癌症会传染
1	久坐不动可能导致肌肉筋膜炎
0	发霉水果别舍不得扔，它是肝癌祸首
0	体内有癌，腿部先知
0	欧洲禁用面粉增筋剂是因为它致癌
1	反复口腔溃疡的病因尚不明确
0	木耳蘸白糖可以推迟月经
0	埋线减肥安全见效快
0	儿童腹泻不应吃东西，而是要多喝水补水
0	缺维生素B2会致癌
0	1:1:1黄金比例调和油更健康
1	持续性嘶哑、干咳及吞咽困难可能提示癌症风险
1	含三氯生成分的日用品对人体有潜在危害 
1	吃未熟烧烤有可能会导致寄生虫入脑
0	生土豆汁能减肥消炎降血压
0	检查发现“大三阳”就是得了乙肝
1	宝宝未满三岁不宜吃巧克力
0	里约泳池频破纪录是因为比标准长度短2厘米
1	绑头发太高（扎马尾辫）、梳头发太紧会导致脱发
0	普通人出门要佩戴护目镜，防止新型冠状病毒侵入体内
1	科学家从芥子气中研发出了抗癌药物氮芥
0	头皮有小疙瘩是“内分泌失调”“体内排毒”的表现
0	鱼头富含重金属不能吃
0	新型冠状病毒已经混合在空气里，一旦呼吸就会致病
0	电解水机产生的碱性电解水（富氢水）有保健作用
0	口服防晒丸可以有效防晒
1	被猫狗轻微抓伤，也要打狂犬疫苗
0	洗澡时有腿疼头疼腹疼牙疼等八个现象，猝死随时发生
0	近视能治愈
0	孕妇不能吃冰激凌
0	多吃水果会导致子宫肌瘤
0	野生蜂蜜不含重金属
1	习惯性脱臼最好做手术
0	热性惊厥不会复发
1	西布曲明会增加心血管病发病率
1	高动物蛋白、高脂肪和低纤维饮食是大肠癌高发的原因
1	眼袋消不掉只能开刀
0	牛奶是催胖食物
0	不穿秋裤会导致风湿
0	原位癌不是癌
0	卵巢按摩调整月经、治疗痛经、延缓卵巢衰老
0	中老年人驼背可以用背背佳矫正
0	癌症是缺乏维生素B17（苦杏仁苷）引起的
0	化疗会加速死亡，有治疗癌症的偏方
0	可以用馒头包裹胶囊药粉服用
0	内含热门科学术语的保健品一定是健康有效的保健品
1	脱糖电饭煲可以做脱糖米饭，但不是最高效实惠的选择
0	在马路上被人用大头针等扎一下会得艾滋病
0	桂林米粉配方“泄露”，有水蛇和黄青蛙
0	通过疾病获得免疫比通过疫苗获得好 
0	老憋尿影响性能力
0	孕妇接种流感疫苗后可能发烧，所以不能接种
0	肝腹水会遗传
1	海苔营养远不如紫菜
0	高氟地区的人不能用含氟牙膏
0	男人鼻子大性功能就强
0	海边更容易晒黑
0	藿香正气水能治中暑
1	短效避孕药可以除毛
1	烹调会产生污染
0	化纤地毯、不粘锅会影响女性生育能力
0	吃芹菜等光敏果蔬会让人皮肤变黑
0	为延长香蕉保质期，香蕉浸泡甲醛保鲜
1	大肠癌通常指的是结直肠癌
0	模仿动物爬行可以治好腰椎间盘突出
1	久治不愈的鼻塞要警惕鼻咽癌
0	亚麻籽油加酸奶能减肥
1	实施无痛分娩要以母婴安全为最高原则
0	喝椰子水可以补羊水
0	李咏死于治疗癌症，马原放弃治疗癌症是对的
0	“顶花黄瓜”用了避孕药
0	大蒜水可以治好冠状病毒肺炎，要多喝大蒜水
0	猪内脏里有毒素，吃了有害健康
0	食用油烧热变成了“沥青”
0	酱香酒有益于温经活血散寒祛瘀
0	女子被自家狗咬，一小时后当街发“狗疯”
1	生物电阻法通过测量电阻来测定脂肪含量
0	国人爱吃的“黑色冰淇淋”含有活性炭，已被美国禁售
0	喝酒脸红的人酒量大
0	能燃烧的就是假粉丝
0	做馒头包子不能用泡打粉
0	失重24小时，就杀死人体内80％癌细胞
0	吃表皮上黑斑多的香蕉能抗癌
0	武汉第九医院：疫情期间，不能外出散步，小心被传染
1	开窗通风是预防流感的重要措施
0	得了“激素脸”，要去美容院排毒排激素、调节内分泌
0	红薯叶能抗癌
0	哺乳会导致胸部下垂
0	门诊自费超1200元可报销60％
0	不能用一次性纸杯喝热水
0	空心菜（通心菜）是抽筋菜，吃完会抽筋
0	济南市2月10日晚上12点大面积消杀、消毒
0	多于12排的玉米是转基因农作物
0	大闸蟹靠激素养肥
0	95%以上国人对输液的危害一无所知
0	输液会导致“湿邪”
1	黑色大便可能提示胃和十二指肠出血
0	蜂王浆会导致性早熟
0	化疗杀人已被实践证明
0	翠绿色海带是被色素染的，一烫就会变色
0	旺仔牛奶、爽歪歪、哇哈哈等多款乳饮品会导致白血病
0	大姨妈来了不能碰凉水，吃冰激凌
0	化糖贴可以治疗糖尿病
0	珍珠奶茶里的珍珠加了塑料
0	吃韭菜、公鸡、母鸡可以发奶或者回奶
1	短效避孕药可以降低卵巢癌风险
0	喝浓茶等于割肾，还会伤害肠胃
0	斯坦福大学：能憋气10秒就没感染新冠病毒
0	吃多了小龙虾胳膊上会长蛆虫
0	喝醋蛋液包治百病
1	肝硬化患者是肝癌高危人群
0	宫颈糜烂是严重的妇科病，会导致宫颈癌
1	吃硝基咪唑类抗菌药物（甲硝唑等）不能立即喝酒
0	香蕉是“超级食物”，具有很多功效，可以治病
0	鲜艳的水果皮都有毒
1	高度近视可能会导致失明
1	近视远视散光都是屈光不正
0	灰指甲治不好白花钱
0	抗病毒药阿昔洛韦能有效预防新冠肺炎
0	糖尿病人不能喝酸奶
0	HIV感染者相互做爱时，没必要做安全措施
0	卫生巾中的薄荷成分会破坏阴道弱酸环境导致宫寒
0	胎盘是高级营养品
1	利巴韦林不能治疗感冒，对儿童、孕妇有严重的副作用
1	头晕目眩可能是耳朵里的石头掉了
0	“英国卫裤”有壮阳功效
0	皮肤上出现很多小红点是得了大病
1	练马甲线需要瘦
0	使用脱脂或全脂乳粉生产的奶粉质量不好，营养价值低
0	老年人弯腰低头捡东西会造成动脉破裂（主动脉夹层）
0	密封瓶装水会老化，不宜饮用
1	人体供能主要靠ATP（三磷酸腺苷）
1	尿毒症不是病，而是各种肾病的晚期状态
0	推拿可以治发烧
0	脾胃虚弱的人不能吃红薯
0	大蒜能消灭血液中的细菌并降低血糖
1	黄花菜吃之前最好用水焯一下，去除秋水仙碱
0	血液测试能预测一个人的生死，准确率达80%
0	输液等于自杀
0	三七是抗癌神药
1	蕨菜中含有原蕨苷，具有致癌能力，不能多吃
0	外阴瘙痒就是得了性病
0	国产疫苗技术落后，不能用
1	持续性胸闷（难受出汗）可能提示心梗
0	发芽大蒜是“抗癌冠军”
0	白米饭是垃圾食物
1	打溶脂针会出现不良反应，对身体有害
1	全天的血压变化曲线像勺子
1	长期近距离看电视盯电脑会增加近视风险
0	孕妇喝牛奶可以缓解失眠
0	做完祛眼袋手术后，眼袋就再也不会出现
1	荷兰一公司违规使用农药，欧洲惊现“毒鸡蛋”
0	哺乳期不能运动
1	吃红肉可以补铁
0	“宫颈糜烂”代表炎症很严重
1	男性也有更年期
1	CAR-T免疫疗法治癌症有副作用
0	吃甘蔗可以补血
0	人体有最佳睡觉时间表，子时前一定要睡觉
0	口香糖会粘肠子
0	药一打开就要丢掉里面的棉花和干燥剂，否则会污染药
0	患糖尿病是因为糖吃多了
0	上海68名男女感染SB250死亡
0	月经的主要作用是排毒
1	新冠肺炎“复阳”患者几乎不具备传染性
0	日本的纳豆激酶好处多，能溶血栓保护心血管
0	小苏打“饿”死癌细胞
0	乳腺癌是因为胸罩压迫腺体气血不通导致
0	吃樱桃感染禽流感
0	流感疫苗副作用大会致死，不能接种
0	虾皮能补钙
0	整骨疗法可以减少早产儿的住院时间
0	吃莲子可以治疗失眠
0	割了子宫肌瘤会让女人男性化
0	发高烧会把宝宝脑子烧坏
1	尿路结石的形成跟生活习惯、泌尿系疾病有直接关系
0	婴儿喝奶粉需要用专门的“无菌水”冲剂
1	达菲可用来治疗H7N9
0	鸡肉鱼肉不能一起吃，不然会中毒
0	西瓜和桃子同时吃会致命
0	纹眉会导致健康的人患上白癜风
0	面条可燃是因为含有大量添加剂
1	胰岛素可以放在冰箱内保存
0	巴西莓提取物可以有效减肥
0	小分子肽能够治疗糖尿病
0	陈醋可以治疗冠心病
1	马兜铃酸可能导致肝癌
1	月经期大出血、月经期外出血可能提示癌症风险
0	多吃水果会导致钙流失
0	食物裹保鲜膜会繁殖更多细菌
1	女性比男性更容易骨质疏松
1	六岁以下儿童防晒应该少戴墨镜
1	长期吸入二手烟可能导致慢性咽炎
0	带鱼皮颜色越白，营养价值越高
0	蜂王浆会让孩子上火积热
0	20%新冠男康复者精液中完全无精子，失去生育能力
0	草莓内含有“诺如病毒”，吃了会中毒
1	牛初乳不能做宝宝的主食
1	定期洗牙的主要目的是发现牙结石和虫牙
1	妊娠糖尿病需要科学的饮食管理
1	高血压会遗传
0	不能空腹吃水果，会伤胃伤身
0	指甲变脆或分叉是津液亏虚
1	酸奶可以加热再喝
0	吃榴莲后不能喝酒喝牛奶，会导致猝死
0	运动会折寿
1	癌症高危人群建议定期做早癌筛查
0	多吃水果会引起腿抽筋
0	美国的电子烟肺炎是新型冠状病毒导致
1	粪便嵌塞是一种严重的便秘
0	不能用冷水服用胶囊
1	卡铂是很有效的抗癌药
0	营养快线阴干后成乳胶，因10余种添加剂对人体有害
0	保持喉咙黏膜湿润就能防流感
1	结直肠癌是发病率很高的恶性肿瘤
1	精囊炎会影响男性生育
0	宿便需要清肠排毒
0	黑人女孩因患白癜风变身“白人”
0	哺乳期妈妈要忌口，不能吃辣椒、生鱼片、芥末、烧烤
0	混着喝茶危害大
1	山梨酸及其钾盐是安全的防腐剂
0	降压药可以按需服用，血压正常了就不用吃药
1	医生可以用 Centor 标准鉴别细菌感染
0	孩子囟门闭合晚是因为缺钙
0	紧急通知！长春某医院患者因H7N9死亡
0	含乳饮料就是糖兑白开水
0	HPV感染有特效药
0	女人保养卵巢要补充雌激素，多吃鱼虾牛奶，多吃黑豆
0	睡前泡脚，加速血液循环，有利于降血压
0	马齿苋可以治病防癌
0	男子吃豆腐长420颗结石
0	喝红酒能抵抗新型冠状病毒，延缓病情发展
1	喝酒脸红的人是酒精代谢异常
0	银耳可以祛湿、补气、补血、美容养颜
0	用人尿泡虾能延长存活时间
0	小孩讲话吐字不清可以剪去舌头下的一根线
0	韭菜花可以治疗妇科炎症
1	浴霸会伤害婴幼儿的视力
0	黑蒜有降血脂、降血压的功效
0	金鸡毛草可以治疗风湿、过敏、抗癌、降血压、降血糖
0	来自抗击疫情一线消息，李留树博士刚从武汉打来电话
0	木耳泡时间太长会有毒
1	孕妇最好不要吃没有洗干净的蔬菜
0	辣椒对胃伤害大需要忌口
1	粘连性肠梗阻应该尽量少吃纤维素含量高的食物
0	白菜心也有农药残留，必须仔细清洗
0	胰岛素会让人上瘾
0	疫苗所含的铝佐剂会进入大脑，严重危害人体健康
0	自闭症就是智力障碍
0	吃草莓致癌
1	青光眼越早发现治疗效果越好
0	血糖高不能吃蜂蜜
0	桃子用国产苏打粉清洗会变黑，毒上加毒
0	医生公布降尿酸食物，冬瓜排第二，第一名竟是它
0	分娩危险时医生会问保大人还是保孩子
0	体重轻就是瘦
0	哈夫病是绝症
0	味精吃多了不好，鸡精和蘑菇精比味精更好
0	红薯不能与西红柿一起吃
0	高血压患者只要注意血压状况就够了
0	土豆切开不变黑是转基因土豆
0	地暖致癌
0	男性缺乏雄性激素会变“娘”
0	星巴克承认在中国所售糕点含致癌橡胶鞋底原料
1	癌症患者按摩可能导致肿瘤细胞扩散
0	小孩发烧不能喝牛奶
0	喝茶、咖啡、含咖啡因饮料能刮油减肥
0	植物激素催熟葡萄不能吃
0	头晕、头昏和眩晕是一样的
0	盖有X形章的猪肉是被禁止出售和食用的
0	宝宝不能喝果汁
0	金制餐具危害健康
0	植物蛋白比动物蛋白好吸收
0	长针眼是因为看了不干净的东西
1	给孩子测量体温不推荐使用水银体温计
1	还没当妈竟先产奶了，这有可能是疾病的征兆
0	国家食药总局紧急通知13种有毒胶囊
0	胡柚能治疗新型冠状病毒肺炎
0	彩虹食谱拯救91岁美国前总统，扩散至脑的肿瘤消失
0	吃酵素可以减肥
1	第一口即“深渊”，95%以上烟民存在“烟草依赖”
1	婴儿衔乳姿势不正确容易导致乳腺炎
0	电解还原水可以治病
1	吃孢类抗生素类药物不要喝酒
0	糖精浸泡过的枣会致癌
1	友情提醒：吃药的时候尽量不要喝酒
0	维生素E能够抗氧化防衰老，促进硫酸软骨素的合成
1	近视激光手术最大的风险是圆锥角膜
1	青少年肥胖可能会影响到骨龄
0	大豆蛋白不是优质蛋白，肾病不宜吃
0	肝癌会传染
0	戴胸罩会导致乳腺癌
1	激光生发仪器可以治疗脱发
0	一勺猪油相当于十副药，能治十几种病
0	挂烫机喷出的蒸汽可用于衣物消毒杀菌
0	猪牛被杀时会产生毒素
0	喝豆浆会使女性性早熟
1	罗非鱼鱼皮可以治疗烧伤
1	钟南山院士表示目前已有药物准备用于肺炎临床治疗
1	坐月子不要剧烈活动
0	打了HPV疫苗就不会得宫颈癌
0	啤酒加生鸡蛋是大补
1	汤姆·汉克斯宣布他和妻子感染新冠病毒
0	 高新科技电子产品（理疗、磁疗等）能降血糖
1	喝酒增加肝癌风险
1	户外运动可以预防近视
0	食盐可能含有剧毒添加物
1	蜂蜜不易变质
0	食盐搓脸可以去除黑头和粉刺
0	“勾兑酒”品质不好，喝多了容易头疼
1	中年以上男性是肝癌高发人群
0	西红柿不能和黄瓜、胡萝卜一起吃
0	麻辣烫是一种不健康的食物
0	苦瓜、柠檬、百合等食物能排烟毒
1	肺癌有遗传倾向
0	存在“负能量食物”，会越吃越瘦
0	破伤风是伤口受风引起的，伤口包严实就能预防
0	如厕蹲着比坐着好
0	孕期发热，只能用捂汗、酒精擦拭等方式退烧
0	吃洋葱能降血压
